pkey,con_id,owner,table_name,column_name,data_type,data_length,data_precision,data_scale,nullable
dms-test_2024-06-13075655,1,mockschema,emp_details_view,salary,numeric,,8,2,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col2_number_decimal,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col3_number_high_decimal,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col4,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col5,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col6,numeric,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col7,numeric,,12,2,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col8,numeric,,24,5,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col9,numeric,,32,10,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,employees_bkp,employee_id,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,employees_bkp,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,logging_table,code,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,logging_table,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,source_tab,object_id,numeric,,,,NO
dms-test_2024-06-13075655,1,mockschema,regions,region_id,numeric,,,,NO
dms-test_2024-06-13075655,1,mockschema,employees,employee_id,integer,,32,0,NO
dms-test_2024-06-13075655,1,mockschema,employees,hire_date,timestamp without time zone,,,,NO
dms-test_2024-06-13075655,1,mockschema,employees,salary,numeric,,8,2,YES
dms-test_2024-06-13075655,1,mockschema,employees,commission_pct,numeric,,2,2,YES
dms-test_2024-06-13075655,1,mockschema,employees,manager_id,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,employees,department_id,smallint,,16,0,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1,col_1,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1,col_2,timestamp without time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,jobs,min_salary,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,jobs,max_salary,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,dest_tab,object_id,numeric,,,,NO
dms-test_2024-06-13075655,1,mockschema,dest_tab,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,countries,region_id,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,job_history,employee_id,integer,,32,0,NO
dms-test_2024-06-13075655,1,mockschema,job_history,start_date,timestamp without time zone,,,,NO
dms-test_2024-06-13075655,1,mockschema,job_history,end_date,timestamp without time zone,,,,NO
dms-test_2024-06-13075655,1,mockschema,job_history,department_id,smallint,,16,0,YES
dms-test_2024-06-13075655,1,mockschema,locations,location_id,smallint,,16,0,NO
dms-test_2024-06-13075655,1,mockschema,departments,department_id,smallint,,16,0,NO
dms-test_2024-06-13075655,1,mockschema,departments,manager_id,integer,,32,0,YES
dms-test_2024-06-13075655,1,mockschema,departments,location_id,smallint,,16,0,YES
dms-test_2024-06-13075655,1,samet,test,a,numeric,,,,YES
dms-test_2024-06-13075655,1,samet,test,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,col_1,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,col_2,timestamp without time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,col_4,timestamp without time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,rowid,bigint,,64,0,NO
dms-test_2024-06-13075655,1,mockschema,emp_details_view,employee_id,numeric,,6,0,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,manager_id,numeric,,6,0,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,department_id,numeric,,4,0,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,location_id,numeric,,4,0,YES
dms-test_2024-06-13075655,1,mockschema,sample_number_data_type,col1_number_int,numeric,,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,commission_pct,numeric,,2,2,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,original date,timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,minutes,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,hours,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,days,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,months,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,years,bigint,,64,0,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,original date,timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,"date, time removed",timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,start of week,timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,start of month,timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,start of year,timestamp with time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,vw_listagg,department_id,numeric,,4,0,YES
dms-test_2024-06-13075655,1,mockschema,vw_listagg_overflow,department_id,numeric,,4,0,YES
dms-test_2024-06-13075655,1,mockschema,logging_table,created_on,timestamp without time zone,,,,YES
dms-test_2024-06-13075655,1,mockschema,logging_table,text,character varying,4000,,,YES
dms-test_2024-06-13075655,1,mockschema,locations,city,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,logging_table,created_by,character varying,100,,,YES
dms-test_2024-06-13075655,1,mockschema,locations,state_province,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,locations,country_id,character,2,,,YES
dms-test_2024-06-13075655,1,mockschema,source_tab,owner,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,source_tab,object_name,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,source_tab,object_type,character varying,19,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_trunc_date,nearest minute,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,regions,region_name,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,departments,department_name,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,employees,first_name,character varying,20,,,YES
dms-test_2024-06-13075655,1,mockschema,employees,last_name,character varying,25,,,NO
dms-test_2024-06-13075655,1,mockschema,employees,email,character varying,25,,,NO
dms-test_2024-06-13075655,1,mockschema,employees,phone_number,character varying,20,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,department_name,character varying,30,,,YES
dms-test_2024-06-13075655,1,mockschema,employees,job_id,character varying,10,,,NO
dms-test_2024-06-13075655,1,mockschema,emp_details_view,job_title,character varying,35,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,city,character varying,30,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,state_province,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,country_name,character varying,40,,,YES
dms-test_2024-06-13075655,1,mockschema,countries_demo,country_id,character,2,,,NO
dms-test_2024-06-13075655,1,mockschema,countries_demo,country_name,character varying,40,,,YES
dms-test_2024-06-13075655,1,mockschema,countries_demo,currency_name,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,countries_demo,currency_symbol,character varying,3,,,YES
dms-test_2024-06-13075655,1,mockschema,countries_demo,region,character varying,15,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,region_name,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_2,col_3,character varying,1,,,YES
dms-test_2024-06-13075655,1,mockschema,tbl_test_functional_index_1,col_3,character varying,1,,,YES
dms-test_2024-06-13075655,1,mockschema,vw_listagg,members,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,jobs,job_id,character varying,10,,,NO
dms-test_2024-06-13075655,1,mockschema,jobs,job_title,character varying,35,,,NO
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,day-month-year,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,time in 24-hr format,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,job_id,character varying,10,,,YES
dms-test_2024-06-13075655,1,mockschema,dest_tab,owner,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,dest_tab,object_name,character varying,30,,,NO
dms-test_2024-06-13075655,1,mockschema,dest_tab,object_type,character varying,19,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,iso year and week of year,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,countries,country_id,character,2,,,NO
dms-test_2024-06-13075655,1,mockschema,countries,country_name,character varying,40,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,month name,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,oracle_to_char_date,year,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,country_id,character,2,,,YES
dms-test_2024-06-13075655,1,mockschema,emp_details_view,first_name,character varying,20,,,YES
dms-test_2024-06-13075655,1,mockschema,job_history,job_id,character varying,10,,,NO
dms-test_2024-06-13075655,1,mockschema,emp_details_view,last_name,character varying,25,,,YES
dms-test_2024-06-13075655,1,mockschema,vw_listagg_overflow,members,text,,,,YES
dms-test_2024-06-13075655,1,mockschema,locations,street_address,character varying,40,,,YES
dms-test_2024-06-13075655,1,mockschema,locations,postal_code,character varying,12,,,YES
