pkey,con_id,owner,object_name,object_type,dma_source_id,dma_manual_id
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRIES_DEMO,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRY_C_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,COUNTRY_C_ID_PK_DEMO,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPARTMENTS_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPT_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEPT_LOCATION_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEST_TAB,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,DEST_TAB_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES_BKP,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES_BKP_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMPLOYEES_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DEPARTMENT_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_DETAILS_VIEW,VIEW,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_EMAIL_UK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_EMP_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_JOB_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_MANAGER_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,EMP_NAME_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JHIST_DEPARTMENT_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JHIST_EMPLOYEE_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JHIST_EMP_ID_ST_DATE_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JHIST_JOB_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOBS,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_HISTORY,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,JOB_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOCATIONS_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOC_CITY_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOC_COUNTRY_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOC_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOC_STATE_PROVINCE_IX,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,LOGGING_TABLE_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_DEST_TAB_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_EMPLOYEES_BKP_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_LOGGING_TABLE_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_SAMPLE_NUMBER_DATA_TYPE_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_TBL_TEST_FUNCTIONAL_INDEX_1_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,MOCKSCHEMA_TBL_TEST_FUNCTIONAL_INDEX_2_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TO_CHAR_DATE,VIEW,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,ORACLE_TRUNC_DATE,VIEW,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,REGIONS,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,REG_ID_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SAMPLE_NUMBER_DATA_TYPE_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,SOURCE_TAB_PK,INDEX,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_1,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_1_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2,TABLE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,TBL_TEST_FUNCTIONAL_INDEX_2_ROWID_SEQ,SEQUENCE,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,VW_LISTAGG,VIEW,Postgres,
dms-test_2024-06-13094240,1,MOCKSCHEMA,VW_LISTAGG_OVERFLOW,VIEW,Postgres,
dms-test_2024-06-13094240,1,SAMET,SAMET_TEST_PK_ROWID,INDEX,Postgres,
dms-test_2024-06-13094240,1,SAMET,TEST,TABLE,Postgres,
dms-test_2024-06-13094240,1,SAMET,TEST_ROWID_SEQ,SEQUENCE,Postgres,
